A1BG	12
A1BG-AS1	9
A1CF	20
A2M	56
A2M-AS1	33
A2ML1	6
A2ML1-AS1	27
A2MP1	9
A3GALT2	0
A4GALT	0
A4GNT	1
AA06	0
AAAS	0
AAAS_1	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	1
AADACL2-AS1	0
AADACL2-AS1_1	0
AADACL2_1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAGAB	0
AAK1	2
AAMDC	49
AAMP	0
AANAT	0
AAR2	0
AARD	0
AARS1	1
AARS2	1
AARSD1	0
AASDH	1
AASDHPPT	0
AASS	0
AATBC	22
AATF	0
AATF_1	0
AATK	7
ABALON	166
ABAT	5
ABCA1	28
ABCA10	0
ABCA11P	2
ABCA12	3
ABCA13	0
ABCA15P	0
ABCA15P_1	0
ABCA17P	3
ABCA2	4
ABCA3	0
ABCA4	2
ABCA5	0
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	0
ABCA9-AS1	7
ABCB1	4
ABCB10	0
ABCB11	0
ABCB11_1	0
ABCB4	47
ABCB5	0
ABCB6	0
ABCB7	1
ABCB8	2
ABCB9	2
ABCC1	0
ABCC10	8
ABCC11	29
ABCC12	0
ABCC13	0
ABCC1_1	0
ABCC2	0
ABCC3	1
ABCC4	2
ABCC5	2
ABCC5-AS1	6
ABCC6	2
ABCC6P1	0
ABCC6P1_1	0
ABCC6P2	0
ABCC6P2_1	0
ABCC6_1	0
ABCC8	1
ABCC9	2
ABCD1	0
ABCD2	0
ABCD3	0
ABCD4	0
ABCE1	0
ABCF1	0
ABCF1-DT	0
ABCF1_1	0
ABCF1_2	0
ABCF1_3	0
ABCF1_4	0
ABCF1_5	0
ABCF1_6	0
ABCF2	0
ABCF2-H2BK1	0
ABCF3	6
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	7
ABCG8	2
ABHD1	20
ABHD10	1
ABHD11	2
ABHD12	0
ABHD12B	8
ABHD13	0
ABHD14A	0
ABHD14A-ACY1	0
ABHD14B	2
ABHD15	0
